Date,burger_sales,Instagram_Cost,Bing_Cost,Facebook_Cost,Google_Cost,Pinterest_Cost,Tiktok Cost
2020-10-19,2110,600.3,1265.6999999999998,1131.5,8146.33624,0.0,0.0
2020-10-20,1960,599.3,1483.7,1139.1,10615.168699999998,0.0,0.0
2020-10-21,1980,600.5,1433.1999999999998,1124.3,11433.27549,0.0,0.0
2020-10-22,2240,602.0,1496.6,1178.1999999999998,9901.837880000001,0.0,0.0
2020-10-23,1900,600.4,1491.6,1093.5,7361.3326099999995,0.0,0.0
2020-10-24,1870,597.9,1500.9,1118.8000000000002,8005.9573,0.0,0.0
2020-10-25,1670,623.5,1489.9,1077.1,6648.4888200000005,0.0,0.0
2020-10-26,1980,601.0,1402.4,1070.3,10582.15862,0.0,0.0
2020-10-27,2200,593.8,1495.0,665.0,13531.873029999999,0.0,0.0
2020-10-28,2300,624.2,1615.3,668.1,10142.388009999999,0.0,0.0
2020-10-29,2340,589.9,1498.8,660.3,11246.740689999999,0.0,0.0
2020-10-30,2000,585.2,1499.1,632.1,8894.38086,0.0,0.0
2020-10-31,1780,573.3,1112.2,624.6,5619.047500000001,0.0,0.0
2020-11-01,1770,598.8,1388.6,681.2,6618.329599999999,0.0,0.0
2020-11-02,2070,602.7,1428.6,1015.6,10141.41533,0.0,0.0
2020-11-03,2320,602.1,1433.3,1008.9,7759.62657,0.0,0.0
2020-11-04,1750,603.3,1421.5,1013.4000000000001,6458.313139999999,0.0,0.0
2020-11-05,2270,572.6,1364.6,1033.4,8486.59588,0.0,0.0
2020-11-06,1620,596.2,1437.1,997.4000000000001,6298.439170000001,0.0,0.0
2020-11-07,1450,602.0,1424.3000000000002,999.6,4357.798409999999,0.0,0.0
2020-11-08,1500,603.3,1367.8,995.2,5478.01847,0.0,0.0
2020-11-09,1840,603.7,1480.6999999999998,1011.3,8174.09204,0.0,0.0
2020-11-10,2240,605.0,1421.7,988.2,6891.72113,0.0,0.0
2020-11-11,1780,598.4,1412.4,672.8,3836.05799,0.0,0.0
2020-11-12,1740,603.7,1458.3,634.4,3668.5962999999997,0.0,0.0
2020-11-13,1790,604.6,1266.0,810.2,5548.5109999999995,0.0,0.0
2020-11-14,1610,601.9,1115.5,813.0999999999999,5360.768120000001,0.0,0.0
2020-11-15,1590,601.3,1316.4,817.8,5361.0614,0.0,0.0
2020-11-16,2030,601.9,1434.7,810.9,6768.11983,0.0,0.0
2020-11-17,2280,603.1,1254.5,816.6,7202.7388900000005,0.0,0.0
2020-11-18,3160,603.1,1430.4,826.5,5329.03903,0.0,0.0
2020-11-19,2710,600.4,1101.1999999999998,817.0,5435.883089999999,0.0,0.0
2020-11-20,2260,584.3,1360.0,822.1,2420.13076,0.0,0.0
2020-11-21,1670,577.9,1238.4,697.0,2061.21734,0.0,0.0
2020-11-22,1590,589.0,1091.9,706.4,2346.7375,0.0,0.0
2020-11-23,1780,605.8,1375.1,918.8,2532.98498,0.0,0.0
2020-11-24,1720,603.3,1434.4,909.5,2842.68472,0.0,0.0
2020-11-25,2110,608.0,1015.8,735.2,2629.81886,0.0,0.0
2020-11-26,3220,603.8,967.1,785.7,2306.54652,0.0,0.0
2020-11-27,3970,600.9,1030.4,951.8,2656.3417999999997,0.0,0.0
2020-11-28,2600,574.2,727.7,654.8,2501.4029100000002,0.0,0.0
2020-11-29,2200,545.1,1177.6,927.3,3624.1720800000003,0.0,0.0
2020-11-30,2950,621.4,1710.4,759.3,4005.0448499999998,0.0,0.0
